client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,cluster,Cluster_Name,segment
C0001,Individual,Kareem,Liu,1968-11-05,F,USA,California,Home,4,Yes,Website,58,2,C3,Corporate Buyers
C0002,Individual,Trystan,Oconnor,1961-12-26,M,USA,California,Home,1,No,Website,65,3,C4,Luxury Investors
C0003,Individual,Kale,Gay,1959-07-04,M,USA,California,Home,4,Yes,Agency,67,2,C3,Corporate Buyers
C0004,Individual,Russell,Gross,1958-12-25,M,USA,California,Home,5,No,Website,68,2,C3,Corporate Buyers
C0005,Company,Marleez,Co,1975-12-28,M,USA,California,Investment,5,No,Website,51,1,C2,First-Time Buyers
C0006,Individual,Yurem,Wright,1957-06-03,M,USA,California,Home,3,Yes,Website,69,2,C3,Corporate Buyers
C0007,Individual,Xavier,Faulkner,1946-12-24,M,Canada,Quebec,Investment,5,No,Website,80,2,C3,Corporate Buyers
C0008,Individual,Kayden,Olsen,1968-12-17,F,USA,California,Home,5,No,Website,58,1,C2,First-Time Buyers
C0009,Individual,Joaquin,Mullins,1975-05-10,M,USA,California,Investment,5,No,Agency,51,1,C2,First-Time Buyers
C0010,Individual,Nicolas,Navarro,1965-12-17,M,USA,Oregon,Investment,3,No,Agency,61,2,C3,Corporate Buyers
C0011,Individual,Laci,Guerra,1955-12-17,F,USA,California,Home,2,Yes,Website,71,3,C4,Luxury Investors
C0012,Company,Kylax,Co,1974-12-25,M,USA,California,Investment,5,No,Website,52,1,C2,First-Time Buyers
C0013,Individual,Harley,Lucero,1962-10-08,M,USA,California,Home,1,Yes,Website,64,3,C4,Luxury Investors
C0014,Company,Esther,Co,1980-10-07,M,USA,California,Home,3,Yes,Website,46,1,C2,First-Time Buyers
C0015,Individual,Jaylynn,Hickman,1940-12-19,F,USA,California,Home,5,No,Client,86,2,C3,Corporate Buyers
C0016,Individual,Olivia,Oconnell,1939-03-09,F,USA,California,Investment,5,No,Website,87,2,C3,Corporate Buyers
C0017,Individual,Antonio,Porter,1977-08-01,M,USA,Arizona,Home,3,No,Client,49,1,C2,First-Time Buyers
C0018,Individual,Luke,Lynn,1967-07-02,M,USA,California,Home,2,Yes,Agency,59,3,C4,Luxury Investors
C0019,Individual,Anahi,Curry,1957-09-09,M,USA,California,Home,5,Yes,Client,69,2,C3,Corporate Buyers
C0020,Individual,Camille,Sharp,1966-12-17,F,USA,California,Home,5,No,Website,60,2,C3,Corporate Buyers
C0021,Individual,Jesus,Obrien,1938-09-06,M,USA,Oregon,Investment,3,No,Website,88,2,C3,Corporate Buyers
C0022,Individual,Araceli,Nelson,1965-12-14,M,Germany,Berlin,Investment,5,No,Agency,61,2,C3,Corporate Buyers
C0023,Individual,Cole,Taylor,1958-06-12,M,USA,California,Home,3,Yes,Website,68,2,C3,Corporate Buyers
C0024,Individual,Alonso,Terrell,1963-05-11,M,USA,California,Investment,4,No,Website,63,2,C3,Corporate Buyers
C0025,Individual,Rodolfo,Gibson,1936-12-20,M,USA,Nevada,Home,2,Yes,Website,90,3,C4,Luxury Investors
C0026,Individual,Joseph,Reeves,1961-12-23,M,USA,California,Investment,5,No,Website,65,2,C3,Corporate Buyers
C0027,Individual,Grant,Weber,1968-08-09,M,USA,California,Home,5,Yes,Website,58,1,C2,First-Time Buyers
C0028,Individual,Ava,Phelps,1957-12-15,F,USA,California,Home,3,No,Client,69,2,C3,Corporate Buyers
C0029,Individual,Kyla,Walker,1975-12-26,F,USA,Colorado,Home,4,Yes,Agency,51,1,C2,First-Time Buyers
C0030,Individual,Alanna,Hess,1951-12-19,F,USA,Nevada,Home,3,No,Website,75,2,C3,Corporate Buyers
C0031,Individual,Skylar,Buchanan,1976-12-25,M,USA,Nevada,Home,4,Yes,Website,50,1,C2,First-Time Buyers
C0032,Individual,Rodrigo,Robinson,1966-11-08,M,USA,California,Home,4,No,Website,60,2,C3,Corporate Buyers
C0033,Individual,Lydia,Tate,1967-12-14,F,USA,California,Home,3,Yes,Website,59,2,C3,Corporate Buyers
C0034,Individual,Lauryn,Patrick,1968-12-30,F,Belgium,Brussels,Home,2,No,Agency,58,3,C4,Luxury Investors
C0035,Individual,Diego,Mendez,1965-12-05,M,Mexico,Mexico City,Home,3,No,Agency,61,2,C3,Corporate Buyers
