client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel
C0001,Individual,Kareem,Liu,11-05-1968,F,USA,California,Home,4,Yes,Website
C0002,Individual,Trystan,Oconnor,12-26-1961,M,USA,California,Home,1,No,Website
C0003,Individual,Kale,Gay,07-04-1959,M,USA,California,Home,4,Yes,Agency
C0004,Individual,Russell,Gross,12-25-1958,M,USA,California,Home,5,No,Website
C0005,Company,Marleez,Co,12-28-1975,M,USA,California,Investment,5,No,Website
C0006,Individual,Yurem,Wright,06-03-1957,M,USA,California,Home,3,Yes,Website
C0007,Individual,Xavier,Faulkner,12-24-1946,M,Canada,Quebec,Investment,5,No,Website
C0008,Individual,Kayden,Olsen,12-17-1968,F,USA,California,Home,5,No,Website
C0009,Individual,Joaquin,Mullins,05-10-1975,M,USA,California,Investment,5,No,Agency
C0010,Individual,Nicolas,Navarro,12-17-1965,M,USA,Oregon,Investment,3,No,Agency
C0011,Individual,Laci,Guerra,12-17-1955,F,USA,California,Home,2,Yes,Website
C0012,Company,Kylax,Co,12-25-1974,M,USA,California,Investment,5,No,Website
C0013,Individual,Harley,Lucero,10-08-1962,M,USA,California,Home,1,Yes,Website
C0014,Company,Esther,Co,10-07-1980,M,USA,California,Home,3,Yes,Website
C0015,Individual,Jaylynn,Hickman,12-19-1940,F,USA,California,Home,5,No,Client
C0016,Individual,Olivia,Oconnell,03-09-1939,F,USA,California,Investment,5,No,Website
C0017,Individual,Antonio,Porter,08-01-1977,M,USA,Arizona,Home,3,No,Client
C0018,Individual,Luke,Lynn,07-02-1967,M,USA,California,Home,2,Yes,Agency
C0019,Individual,Anahi,Curry,09-09-1957,M,USA,California,Home,5,Yes,Client
C0020,Individual,Camille,Sharp,12-17-1966,F,USA,California,Home,5,No,Website
C0021,Individual,Jesus,Obrien,09-06-1938,M,USA,Oregon,Investment,3,No,Website
C0022,Individual,Araceli,Nelson,12-14-1965,M,Germany,Berlin,Investment,5,No,Agency
C0023,Individual,Cole,Taylor,06-12-1958,M,USA,California,Home,3,Yes,Website
C0024,Individual,Alonso,Terrell,05-11-1963,M,USA,California,Investment,4,No,Website
C0025,Individual,Rodolfo,Gibson,12-20-1936,M,USA,Nevada,Home,2,Yes,Website
C0026,Individual,Joseph,Reeves,12-23-1961,M,USA,California,Investment,5,No,Website
C0027,Individual,Grant,Weber,08-09-1968,M,USA,California,Home,5,Yes,Website
C0028,Individual,Ava,Phelps,12-15-1957,F,USA,California,Home,3,No,Client
C0029,Individual,Kyla,Walker,12-26-1975,F,USA,Colorado,Home,4,Yes,Agency
C0030,Individual,Alanna,Hess,12-19-1951,F,USA,Nevada,Home,3,No,Website
C0031,Individual,Skylar,Buchanan,12-25-1976,M,USA,Nevada,Home,4,Yes,Website
C0032,Individual,Rodrigo,Robinson,11-08-1966,M,USA,California,Home,4,No,Website
C0033,Individual,Lydia,Tate,12-14-1967,F,USA,California,Home,3,Yes,Website
C0034,Individual,Lauryn,Patrick,12-30-1968,F,Belgium,Brussels,Home,2,No,Agency
C0035,Individual,Diego,Mendez,12-05-1965,M,Mexico,Mexico City,Home,3,No,Agency
C0036,Individual,Victor,Jensen,01-09-1973,M,USA,California,Home,4,No,Website
